dataset,model,strategy,target_feature,repeat,model_total_parameters,model_trainable_parameters,model_non_trainable_parameters,timing_total_training_time_ms,timing_avg_epoch_time_ms,timing_avg_batch_time_ms,timing_inference_time_ms,memory_peak_gpu_memory_mb,memory_avg_gpu_memory_mb,memory_model_memory_mb,memory_peak_cpu_memory_mb,overall_mse,overall_rmse,overall_mae,mse,rmse,mae
elec,timesnet,CI,OT,1,154673248,154673248,0,3488949.6998786926,116087.43095397949,1398.532196989766,487.60236393321645,2380.11767578125,2379.290686939381,590.0316162109375,7228.23046875,0.26520100235939026,0.5149766802787781,0.3827180862426758,0.26520100235939026,0.5149766802787781,0.3827180862426758
elec,transformer,CD,,1,189534240,189534240,0,418421.63038253784,16992.576281229656,36.9537572760682,3.108728222730683,2945.15087890625,2944.107899201222,723.0157470703125,21422.1328125,0.24427828192710876,0.49424517154693604,0.3551595211029053,0.2437080442905426,0.49366796016693115,0.36415696144104004
elec,transformer,CI,OT,1,1840224,1840224,0,175593.88995170593,10967.865660786629,10.38474170165462,1.0847027708844441,47.849609375,46.86673411122569,7.0198974609375,6892.34765625,0.19237679243087769,0.438607782125473,0.3199048340320587,0.19237679243087769,0.438607782125473,0.3199048340320587
elec,tsmixer,CD,,1,652611,652611,0,280179.5551776886,11670.441706975302,14.925991808062111,2.5223580802359233,64.05615234375,63.81727632109102,2.489513397216797,23767.875,0.14539217948913574,0.38130325078964233,0.24449048936367035,0.1926310658454895,0.4388975501060486,0.31987103819847107
elec,tsmixer,CI,OT,1,210404,210404,0,151354.2308807373,10808.418427194867,9.916089929186262,1.1386667809835294,22.52001953125,22.519416496589347,0.8026275634765625,7088.34765625,0.19138872623443604,0.43747997283935547,0.31748878955841064,0.19138872623443604,0.43747997283935547,0.31748878955841064
etth1,autoformer,CD,,1,11597319,11597319,0,468753.292798996,23418.128776550293,156.795882927744,233.30410889216833,219.07275390625,218.67412674753288,44.24026107788086,1979.77734375,0.8844887018203735,0.9404726028442383,0.7097546458244324,0.14136828482151031,0.37598973512649536,0.30132776498794556
etth1,autoformer,CI,OT,1,1402881,1383425,19456,419603.60383987427,13980.34991423289,59.27198962161415,213.19363798413957,46.486328125,46.47658203125,5.351566314697266,1712.5859375,0.09848839789628983,0.31382861733436584,0.23927439749240875,0.09848839789628983,0.31382861733436584,0.23927439749240875
etth1,dlinear,CD,,1,18708,18708,0,66705.96098899841,2565.0346737641553,2.3285594546360526,0.4628556115286691,18.33935546875,18.317637232730263,0.0713653564453125,1287.87109375,0.4039297103881836,0.6355546712875366,0.45546701550483704,0.09802781045436859,0.3130939304828644,0.23977620899677277
etth1,dlinear,CI,OT,1,18630,18630,0,54071.06852531433,3180.1457264844107,1.6050542976354396,1.1831831049036097,16.640625,16.640091235225853,0.07106781005859375,1023.4296875,0.08815573900938034,0.2969103157520294,0.2215588390827179,0.08815573900938034,0.2969103157520294,0.2215588390827179
etth1,dssrnn,CD,,1,124608,124608,0,62055.36913871765,5170.557061831157,5.445876129953129,1.2939815168027524,22.33154296875,22.32651218242291,0.475341796875,2137.22265625,0.38900259137153625,0.623700737953186,0.44298145174980164,0.09343846887350082,0.30567705631256104,0.2326473444700241
etth1,dssrnn,CI,OT,1,25920,25920,0,62384.90867614746,3668.7974228578455,1.8959522321715632,1.4213411896317094,20.5,20.499453435842174,0.098876953125,1924.96875,0.08889586478471756,0.2981540858745575,0.22096510231494904,0.08889586478471756,0.2981540858745575,0.22096510231494904
etth1,informer,CD,,1,918663,918663,0,155704.93602752686,12971.352418263754,24.41528605529421,8.490434399357548,39.3330078125,39.325968208616544,3.5044212341308594,2136.89453125,0.46344155073165894,0.6807653903961182,0.5021494030952454,0.10207551717758179,0.3194925785064697,0.24202537536621094
etth1,informer,CI,OT,1,231361,231361,0,77388.21077346802,5155.165847142537,25.062227249145508,14.642868723188128,26.46435546875,26.456817434210528,0.8825721740722656,1924.8046875,0.09941893815994263,0.3153076767921448,0.23313912749290466,0.09941893815994263,0.3153076767921448,0.23313912749290466
etth1,lightts,CD,,1,40410,40410,0,47920.25947570801,3193.602148691813,5.789593813712137,1.2030601501464844,22.44677734375,22.416226356907895,0.15415191650390625,2048.20703125,0.3716031014919281,0.6095925569534302,0.4290032982826233,0.09820134192705154,0.313370943069458,0.2391781359910965
etth1,lightts,CI,OT,1,12690,12690,0,83705.0290107727,3638.071816900502,4.496663911660184,0.9792910681830512,20.439453125,20.438048038697666,0.04840850830078125,1834.62890625,0.09178007394075394,0.30295225977897644,0.22052611410617828,0.09178007394075394,0.30295225977897644,0.22052611410617828
etth1,linear,CD,,1,9396,9396,0,67289.84999656677,3057.996262203563,1.3542956606807668,0.15431863290292244,16.82568359375,16.823020594707017,0.0358428955078125,1235.41796875,0.40147754549980164,0.6336225867271423,0.4528912901878357,0.09194797277450562,0.3032292425632477,0.22837382555007935
etth1,linear,CI,OT,1,9318,9318,0,89910.6993675232,2996.3803927103677,1.2875582031398405,0.16618657995153358,16.498046875,16.496300805426614,0.03554534912109375,967.1953125,0.08935452252626419,0.29892227053642273,0.2229509949684143,0.08935452252626419,0.29892227053642273,0.2229509949684143
etth1,micn,CD,,1,800103,800103,0,115115.65566062927,8220.077804156712,13.024475322432842,4.302859306335449,33.89013671875,33.88433118605533,3.0521507263183594,2143.70703125,0.39940503239631653,0.6319850087165833,0.4507389962673187,0.09692616760730743,0.3113296627998352,0.2368781566619873
etth1,micn,CI,OT,1,929633,929633,0,145126.53732299805,5372.440814971924,13.4714767322245,3.854866381044741,35.64453125,35.641203608018564,3.5462684631347656,1926.359375,0.0874086245894432,0.2956494987010956,0.22026872634887695,0.0874086245894432,0.2956494987010956,0.22026872634887695
etth1,pyraformer,CD,,1,416256,416256,0,393651.8337726593,13116.931096712748,38.926053257425835,28.482940461900498,29.69384765625,29.68653713004299,1.587890625,2130.546875,0.45752403140068054,0.6764052510261536,0.49453654885292053,0.09059160202741623,0.30098438262939453,0.22782719135284424
etth1,pyraformer,CI,OT,1,1149600,1149600,0,192008.15749168396,12794.764296213785,86.5150983710038,77.54891259329659,42.8525390625,42.83766138980263,4.3853759765625,1877.58984375,0.09701430052518845,0.31147119402885437,0.2277299165725708,0.09701430052518845,0.31147119402885437,0.2277299165725708
etth1,rnn,CD,,1,8411424,8411424,0,47568.6731338501,3158.824602762858,3.0368307910899004,0.557210710313585,151.23583984375,151.19030929646163,32.0870361328125,1719.84765625,0.4963327944278717,0.704508900642395,0.5319862365722656,0.11426189541816711,0.3380264639854431,0.26300176978111267
etth1,rnn,CI,OT,1,12085344,12085344,0,85270.72405815125,7746.101205999201,12.444222436228344,4.423331331323694,205.26171875,204.4765845179874,46.1019287109375,1441.78515625,0.11562978476285934,0.3400438129901886,0.26141640543937683,0.11562978476285934,0.3400438129901886,0.26141640543937683
etth1,scinet,CD,,1,24312,24312,0,202141.3676738739,14436.014890670776,29.182343511881363,5.812455106664587,21.06591796875,21.06168764727998,0.092742919921875,1776.703125,0.37595024704933167,0.6131477952003479,0.4353644847869873,0.09240366518497467,0.3039797246456146,0.23013924062252045
etth1,scinet,CI,OT,1,18792,18792,0,571299.2606163025,22847.87211418152,50.39985666856842,11.155296255041051,20.86328125,20.86285840102785,0.071685791015625,1506.77734375,0.08950154483318329,0.29916808009147644,0.21968048810958862,0.08950154483318329,0.29916808009147644,0.21968048810958862
etth1,segrnn,CD,,1,1603864,1603864,0,35775.47740936279,3251.1525804346256,3.6016984190030303,3.7989969606752747,53.35498046875,53.32537498308983,6.118255615234375,1761.140625,0.3657916188240051,0.6048070788383484,0.432822048664093,0.09447803348302841,0.3073727786540985,0.23220477998256683
etth1,segrnn,CI,OT,1,26342,26342,0,52522.380352020264,2763.6761916311166,3.087933241825685,0.776597431727818,20.919921875,20.914669537742384,0.10048675537109375,1808.3046875,0.09688140451908112,0.3112577795982361,0.23879143595695496,0.09688140451908112,0.3112577795982361,0.23879143595695496
etth1,ssrnn,CD,,1,115296,115296,0,38298.667669296265,3190.9553011258445,4.608579267535293,1.4344794409615653,23.56005859375,23.523619962993422,0.4398193359375,2138.1640625,0.3753986358642578,0.6126978397369385,0.4348161816596985,0.09475760161876678,0.3078272342681885,0.23404863476753235
etth1,ssrnn,CI,OT,1,361568,361568,0,67949.2449760437,3087.474226951599,1.661405820236463,0.5134388252540871,25.724609375,25.7222102441829,1.3792724609375,1926.05859375,0.09504597634077072,0.30829527974128723,0.22623449563980103,0.09504597634077072,0.30829527974128723,0.22623449563980103
etth1,tcn,CD,,1,8365760,8365760,0,35833.575963974,2977.7838587760925,6.1733965288128765,1.4519521168300085,147.71240234375,147.59181743421053,31.912841796875,1567.703125,0.6395112872123718,0.7996944785118103,0.6067579984664917,0.18384331464767456,0.4287695288658142,0.354730486869812
etth1,tcn,CI,OT,1,1286528,1286528,0,30406.203508377075,2763.1786519830875,4.4838243694396684,2.070512090410505,36.734375,36.28824947667464,4.90771484375,1280.98046875,0.10927099734544754,0.33056163787841797,0.2488507479429245,0.10927099734544754,0.33056163787841797,0.2488507479429245
etth1,tide,CD,,1,7656755,7656755,0,407381.83879852295,18500.683762810448,38.70853079581278,8.127627549348054,138.91162109375,138.8959929146823,29.208202362060547,2046.47265625,0.373344749212265,0.6110194325447083,0.4261685311794281,0.09323501586914062,0.3053441047668457,0.23135735094547272
etth1,tide,CI,OT,1,192658,192658,0,118144.33336257935,3935.9023253122964,5.964301334697313,1.361175819679543,23.185546875,23.183987647431657,0.7349319458007812,1838.46484375,0.08868230879306793,0.29779574275016785,0.2229086458683014,0.08868230879306793,0.29779574275016785,0.2229086458683014
etth1,timemixer,CD,,1,140759,140759,0,61998.31032752991,5635.4667706923055,15.64466362678414,4.469067962081344,23.09130859375,23.07613735006313,0.5369529724121094,2004.375,0.44719475507736206,0.6687262058258057,0.490788072347641,0.11780377477407455,0.34322553873062134,0.2629162669181824
etth1,timemixer,CI,OT,1,177185,177185,0,79206.50577545166,6599.498510360718,9.966227093383763,2.5876628028021917,22.830078125,22.82893318965517,0.6759071350097656,1766.66796875,0.1269434243440628,0.3562912046909332,0.2810533344745636,0.1269434243440628,0.3562912046909332,0.2810533344745636
etth1,timesnet,CD,,1,60563616,60563616,0,674439.826965332,33566.64913892746,74.72016197933127,25.042149755689834,953.02001953125,952.4637493912674,231.0318603515625,2001.953125,0.4579407870769501,0.676713228225708,0.5068294405937195,0.10243479907512665,0.32005438208580017,0.24589157104492188
etth1,timesnet,CI,OT,1,5998816,5998816,0,111244.31991577148,8549.432259339552,58.22304096299145,17.25191729409354,114.673828125,114.21609430351721,22.8836669921875,1720.828125,0.0993039533495903,0.3151252865791321,0.23357132077217102,0.0993039533495903,0.3151252865791321,0.23357132077217102
etth1,transformer,CD,,1,4230176,4230176,0,53601.64499282837,3145.020989810719,6.620374774047096,1.7681121826171875,84.33544921875,84.27733135400541,16.1368408203125,1634.1640625,0.45337536931037903,0.6733315587043762,0.5067204236984253,0.09302468597888947,0.3049994707107544,0.2294919341802597
etth1,transformer,CI,OT,1,1037472,1037472,0,49052.86955833435,3500.9622403553553,22.251420077823457,7.511820111955915,34.396484375,34.3630124046689,3.9576416015625,1422.17578125,0.0838477686047554,0.2895647883415222,0.21817457675933838,0.0838477686047554,0.2895647883415222,0.21817457675933838
etth1,tsmixer,CD,,1,116220,116220,0,65399.61051940918,4670.428803988865,5.02151650612713,1.1241259398283783,22.21240234375,22.208082747667202,0.4433441162109375,2001.19921875,0.3669085204601288,0.6057297587394714,0.4302188754081726,0.0947311744093895,0.3077842891216278,0.23374059796333313
etth1,tsmixer,CI,OT,1,59585,59585,0,53865.787506103516,2692.2590017318726,2.262948437740928,0.5818605422973633,21.330078125,21.324802117598683,0.22729873657226562,1793.046875,0.09297491610050201,0.3049178719520569,0.22429664433002472,0.09297491610050201,0.3049178719520569,0.22429664433002472
etth2,autoformer,CD,,1,671623,671623,0,197249.7260570526,10376.799432854903,103.57765095275745,229.6898705618722,38.43310546875,38.35756000719572,2.5620384216308594,2008.515625,0.1592104434967041,0.3990118205547333,0.2990737557411194,0.29215168952941895,0.5405105948448181,0.42713916301727295
etth2,autoformer,CI,OT,1,7128321,7089409,38912,419667.4225330353,23300.836933983697,145.23958044442517,269.9689354215349,143.45361328125,138.73875868055555,27.192386627197266,1731.5078125,0.5661303400993347,0.7524163126945496,0.6204197406768799,0.5661303400993347,0.7524163126945496,0.6204197406768799
etth2,dlinear,CD,,1,18708,18708,0,64054.39901351929,3557.6225916544595,1.9305052041937178,0.4574590259128147,16.96826171875,16.965029175991933,0.0713653564453125,1269.39453125,0.12020700424909592,0.3467088043689728,0.2575835883617401,0.20033109188079834,0.4475836157798767,0.33977243304252625
etth2,dlinear,CI,OT,1,18630,18630,0,80459.57922935486,2680.995980898539,2.238461176554362,0.48078809465680805,16.95703125,16.952764699835527,0.07106781005859375,1016.0703125,0.20331566035747528,0.45090538263320923,0.3466051518917084,0.20331566035747528,0.45090538263320923,0.3466051518917084
etth2,dssrnn,CD,,1,370880,370880,0,61587.73446083069,5598.213715986772,6.49768673197919,1.3834812023021557,26.08935546875,26.083203266291896,1.414794921875,2364.328125,0.12447535246610641,0.35281065106391907,0.2499854564666748,0.2311527580022812,0.48078349232673645,0.37126943469047546
etth2,dssrnn,CI,OT,1,25920,25920,0,88083.66012573242,2934.6580187479653,2.456183098910148,0.8183377129690987,20.81640625,20.81211091694079,0.098876953125,2150.6328125,0.1983959972858429,0.445416659116745,0.3386506736278534,0.1983959972858429,0.445416659116745,0.3386506736278534
etth2,informer,CD,,1,577223,577223,0,169843.8334465027,5657.861081759135,57.42742949061923,22.92466163635254,34.63720703125,34.57140401204427,2.2019309997558594,2364.3984375,0.16349437832832336,0.404344379901886,0.2927064597606659,0.3052842915058136,0.5525254011154175,0.4310777187347412
etth2,informer,CI,OT,1,3562497,3562497,0,121652.94313430786,8680.343270301819,28.915519617041763,10.804644337406865,84.3388671875,84.32154335258409,13.589847564697266,2113.88671875,0.22112827003002167,0.47024276852607727,0.35248515009880066,0.22112827003002167,0.47024276852607727,0.35248515009880066
etth2,lightts,CD,,1,12648,12648,0,62170.48621177673,5180.016001065572,5.699538478379119,1.167385666458695,20.65966796875,20.654914350029014,0.048248291015625,2264.0703125,0.12098149955272675,0.34782394766807556,0.24574115872383118,0.21178887784481049,0.4602052569389343,0.35206636786460876
etth2,lightts,CI,OT,1,20138,20138,0,68099.79557991028,3583.028529819689,4.822693904174533,1.1016439508508753,20.548828125,20.547211534696114,0.07682037353515625,2051.765625,0.21585410833358765,0.4646010100841522,0.3553934693336487,0.21585410833358765,0.4646010100841522,0.3553934693336487
etth2,linear,CD,,1,9396,9396,0,88884.81163978577,3291.2518713209365,1.4793805610408646,0.17937907466182001,16.82568359375,16.823482082826775,0.0358428955078125,1227.16796875,0.12487505376338959,0.3533766567707062,0.26398611068725586,0.20246662199497223,0.44996291399002075,0.34195655584335327
etth2,linear,CI,OT,1,9318,9318,0,94302.11758613586,3142.4246549606323,1.3855805763831506,0.1590516832139757,16.498046875,16.496300805426614,0.03554534912109375,956.3984375,0.19626793265342712,0.44302135705947876,0.3464565873146057,0.19626793265342712,0.44302135705947876,0.3464565873146057
etth2,micn,CD,,1,767335,767335,0,62545.09401321411,5210.152844587962,12.33371140885395,4.029989242553711,33.84716796875,33.829950241815474,2.9271507263183594,2373.23046875,0.12215866893529892,0.3495120406150818,0.24766553938388824,0.21651388704776764,0.4653105139732361,0.3601628541946411
etth2,micn,CI,OT,1,18113121,18113121,0,131836.8809223175,8207.224234938622,54.14520251123529,17.34372547694615,314.01416015625,308.4667175292969,69.09607315063477,2157.3828125,0.19647765159606934,0.44325798749923706,0.3345339298248291,0.19647765159606934,0.44325798749923706,0.3345339298248291
etth2,pyraformer,CD,,1,416256,416256,0,316113.6562824249,21070.301787058514,34.14689202312871,31.152455895035356,29.23681640625,29.232165948275863,1.587890625,2320.0625,0.1292596161365509,0.35952693223953247,0.2585427463054657,0.24384817481040955,0.49380984902381897,0.3822786509990692
etth2,pyraformer,CI,OT,1,727360,727360,0,419194.39697265625,13965.56126276652,45.45303375001938,33.20606549580892,33.7607421875,33.758107449432316,2.774658203125,2184.17578125,0.20806200802326202,0.45613813400268555,0.3497377038002014,0.20806200802326202,0.45613813400268555,0.3497377038002014
etth2,rnn,CD,,1,4169184,4169184,0,31465.58380126953,2858.2665053280916,3.1798173365980813,0.533921377999442,85.42138671875,85.33455115505383,15.9041748046875,1667.81640625,0.16517199575901031,0.40641358494758606,0.32071515917778015,0.2581270933151245,0.5080621242523193,0.40757718682289124
etth2,rnn,CI,OT,1,2561376,2561376,0,86662.8224849701,3462.447681427002,4.091279166085379,4.401251121803567,55.541015625,55.53351531498016,9.7708740234375,1439.27734375,0.1794777810573578,0.4236481785774231,0.3315802216529846,0.1794777810573578,0.4236481785774231,0.3315802216529846
etth2,scinet,CD,,1,29800,29800,0,101835.79969406128,9256.852453405207,32.94913788263817,5.539876443368417,21.65966796875,21.644857240560366,0.113677978515625,2023.40625,0.12882694602012634,0.3589247167110443,0.25481125712394714,0.22361774742603302,0.47288239002227783,0.3650420904159546
etth2,scinet,CI,OT,1,18912,18912,0,400853.13391685486,13354.337946573893,53.59714510579589,10.338306427001953,20.98046875,20.97918018697641,0.0721435546875,1790.359375,0.20159968733787537,0.4489985406398773,0.3386022448539734,0.20159968733787537,0.4489985406398773,0.3386022448539734
etth2,segrnn,CD,,1,1592588,1592588,0,56000.497579574585,3728.2270749409995,5.1850522426490855,1.1706528840241608,52.19482421875,52.175185839671514,6.0752410888671875,1958.8515625,0.11568444967269897,0.3401241600513458,0.24173729121685028,0.20109592378139496,0.4484372138977051,0.34438356757164
etth2,segrnn,CI,OT,1,402316,402316,0,52452.906131744385,3495.0092951456704,4.185360869823099,1.0403968669750072,27.8505859375,27.84660976080247,1.5347137451171875,1743.1171875,0.1942673772573471,0.44075772166252136,0.3362579345703125,0.1942673772573471,0.44075772166252136,0.3362579345703125
etth2,ssrnn,CD,,1,115296,115296,0,57536.98635101318,3834.8513762156167,5.0946895828112515,1.1472878632722077,22.64599609375,22.63448402364418,0.4398193359375,2367.203125,0.12783710658550262,0.35754314064979553,0.2544344663619995,0.2393346130847931,0.4892183840274811,0.3751509487628937
